user_id,country,user_type,device
86,UK,New,Mobile
87,US,New,Mobile
88,India,New,Mobile
89,Germany,New,Mobile
90,US,New,Desktop
91,Germany,New,Mobile
92,Germany,Returning,Desktop
93,US,New,Mobile
94,US,New,Mobile
95,US,Returning,Desktop
96,US,New,Mobile
97,US,Returning,Mobile
98,Germany,New,Mobile
99,US,New,Mobile
100,India,New,Desktop
101,UK,New,Mobile
102,US,New,Mobile
103,US,New,Mobile
104,Germany,New,Mobile
105,US,New,Mobile
106,US,New,Mobile
107,US,New,Mobile
108,Germany,New,Desktop
109,US,New,Mobile
110,UK,Returning,Mobile
111,Germany,New,Desktop
112,UK,Returning,Mobile
113,Germany,Returning,Mobile
114,US,New,Mobile
115,UK,Returning,Mobile
116,Germany,Returning,Mobile
117,India,New,Desktop
118,US,New,Mobile
119,Germany,Returning,Mobile
120,India,Returning,Desktop
121,Germany,New,Mobile
122,India,New,Mobile
123,US,New,Mobile
124,UK,New,Desktop
125,India,Returning,Mobile
126,Germany,New,Mobile
127,US,New,Mobile
128,India,Returning,Mobile
129,Germany,New,Mobile
130,Germany,New,Mobile
131,Germany,Returning,Desktop
132,India,Returning,Mobile
133,India,New,Mobile
134,India,New,Desktop
135,UK,New,Desktop
136,India,New,Mobile
137,India,New,Mobile
138,India,New,Mobile
139,UK,New,Desktop
140,India,New,Desktop
141,Germany,New,Mobile
142,India,New,Desktop
143,Germany,New,Mobile
144,Germany,New,Mobile
145,Germany,New,Mobile
146,UK,Returning,Desktop
147,UK,New,Mobile
148,UK,Returning,Desktop
149,India,Returning,Desktop
150,Germany,New,Desktop
151,UK,New,Mobile
152,UK,New,Mobile
153,India,New,Mobile
154,UK,Returning,Mobile
155,India,New,Mobile
156,US,New,Desktop
157,UK,New,Mobile
158,US,New,Mobile
159,India,Returning,Mobile
160,Germany,New,Mobile
161,UK,New,Mobile
162,India,Returning,Mobile
163,Germany,Returning,Desktop
164,Germany,New,Mobile
165,US,New,Desktop
166,India,New,Desktop
167,Germany,New,Mobile
168,UK,New,Desktop
169,UK,New,Mobile
170,US,New,Desktop
171,Germany,New,Mobile
172,India,Returning,Desktop
173,UK,New,Desktop
174,Germany,New,Desktop
175,Germany,New,Desktop
176,US,Returning,Mobile
177,UK,New,Mobile
178,UK,New,Mobile
179,India,Returning,Mobile
180,UK,Returning,Mobile
181,India,Returning,Mobile
182,UK,New,Desktop
183,US,New,Mobile
184,UK,Returning,Desktop
185,India,Returning,Mobile
186,India,New,Desktop
187,US,New,Desktop
188,UK,New,Mobile
189,UK,Returning,Mobile
190,US,New,Desktop
191,UK,New,Mobile
192,UK,New,Mobile
193,India,New,Mobile
194,UK,New,Mobile
195,UK,New,Mobile
196,US,Returning,Mobile
197,US,New,Mobile
198,Germany,New,Mobile
199,India,New,Desktop
200,UK,New,Mobile
201,UK,New,Desktop
202,Germany,New,Mobile
203,UK,New,Mobile
204,India,New,Mobile
205,Germany,New,Mobile
206,India,Returning,Mobile
207,Germany,New,Mobile
208,Germany,Returning,Mobile
209,US,New,Mobile
210,India,Returning,Mobile
211,UK,Returning,Mobile
212,UK,New,Mobile
213,India,New,Desktop
214,UK,New,Mobile
215,UK,New,Mobile
216,India,Returning,Desktop
217,Germany,Returning,Mobile
218,India,Returning,Mobile
219,Germany,New,Desktop
220,UK,Returning,Mobile
221,UK,Returning,Mobile
222,UK,New,Mobile
223,US,New,Mobile
224,Germany,Returning,Mobile
225,US,New,Mobile
226,US,Returning,Mobile
227,India,New,Mobile
228,US,Returning,Desktop
229,India,New,Desktop
230,India,New,Mobile
231,US,New,Mobile
232,Germany,Returning,Mobile
233,Germany,Returning,Mobile
234,Germany,New,Mobile
235,Germany,New,Mobile
236,Germany,Returning,Desktop
237,US,New,Mobile
238,US,Returning,Mobile
239,UK,New,Mobile
240,Germany,New,Mobile
241,US,New,Desktop
242,UK,New,Desktop
243,Germany,Returning,Desktop
244,India,New,Mobile
245,UK,New,Mobile
246,US,Returning,Mobile
247,India,New,Mobile
248,India,New,Mobile
249,India,Returning,Desktop
250,UK,Returning,Mobile
251,US,New,Mobile
252,India,Returning,Mobile
253,Germany,Returning,Mobile
254,India,New,Mobile
255,India,New,Desktop
256,UK,Returning,Desktop
257,UK,Returning,Desktop
258,US,New,Mobile
259,Germany,Returning,Mobile
260,UK,Returning,Mobile
261,India,New,Mobile
262,US,New,Desktop
263,India,New,Mobile
264,India,Returning,Mobile
265,UK,New,Mobile
266,US,New,Mobile
267,Germany,Returning,Desktop
268,Germany,Returning,Mobile
269,UK,New,Mobile
270,UK,Returning,Mobile
271,US,New,Mobile
272,Germany,Returning,Desktop
273,Germany,New,Desktop
274,Germany,New,Desktop
275,India,Returning,Desktop
276,Germany,New,Mobile
277,India,New,Mobile
278,US,Returning,Mobile
279,India,Returning,Mobile
280,US,Returning,Desktop
281,Germany,Returning,Mobile
282,Germany,New,Desktop
283,US,New,Mobile
284,UK,New,Mobile
285,US,New,Mobile
286,UK,Returning,Desktop
287,India,New,Mobile
288,India,New,Mobile
289,India,New,Mobile
290,Germany,Returning,Mobile
291,India,New,Mobile
292,UK,New,Desktop
293,India,New,Mobile
294,US,Returning,Mobile
295,US,New,Mobile
296,Germany,Returning,Mobile
297,US,Returning,Desktop
298,UK,New,Mobile
299,India,Returning,Mobile
300,Germany,Returning,Mobile
301,India,Returning,Desktop
302,India,New,Desktop
303,UK,New,Mobile
304,US,Returning,Mobile
305,US,New,Mobile
306,India,Returning,Desktop
307,Germany,Returning,Mobile
308,US,Returning,Mobile
309,Germany,New,Mobile
310,US,New,Mobile
311,Germany,Returning,Mobile
312,UK,Returning,Desktop
313,Germany,New,Mobile
314,UK,Returning,Mobile
315,UK,Returning,Mobile
316,Germany,New,Desktop
317,UK,New,Mobile
318,India,New,Desktop
319,UK,New,Mobile
320,US,New,Mobile
321,Germany,Returning,Mobile
322,India,New,Mobile
323,Germany,New,Mobile
324,US,New,Desktop
325,US,New,Mobile
326,US,Returning,Mobile
327,UK,New,Mobile
328,UK,New,Desktop
329,Germany,Returning,Desktop
330,Germany,New,Mobile
331,India,New,Desktop
332,India,New,Mobile
333,Germany,New,Mobile
334,UK,New,Desktop
335,US,New,Desktop
336,Germany,New,Mobile
337,India,Returning,Mobile
338,UK,New,Mobile
339,Germany,New,Desktop
340,Germany,Returning,Mobile
341,UK,New,Mobile
342,Germany,Returning,Mobile
343,UK,New,Mobile
344,US,Returning,Mobile
345,UK,New,Desktop
346,UK,New,Mobile
347,UK,New,Mobile
348,Germany,Returning,Mobile
349,Germany,New,Desktop
350,UK,New,Mobile
351,Germany,New,Mobile
352,India,Returning,Desktop
353,India,New,Desktop
354,Germany,Returning,Desktop
355,Germany,New,Desktop
356,UK,New,Mobile
357,US,New,Desktop
358,Germany,New,Mobile
359,India,New,Desktop
360,UK,New,Desktop
361,Germany,Returning,Desktop
362,India,New,Mobile
363,India,New,Mobile
364,US,New,Mobile
365,UK,New,Desktop
366,UK,New,Desktop
367,US,New,Mobile
368,US,New,Mobile
369,UK,Returning,Mobile
370,UK,Returning,Desktop
371,Germany,New,Desktop
372,Germany,New,Mobile
373,US,Returning,Mobile
374,Germany,New,Desktop
375,India,New,Desktop
376,Germany,New,Mobile
377,Germany,Returning,Mobile
378,India,Returning,Mobile
379,US,New,Mobile
380,India,New,Mobile
381,Germany,New,Mobile
382,US,Returning,Desktop
383,Germany,New,Mobile
384,India,New,Desktop
385,India,Returning,Mobile
386,Germany,New,Mobile
387,UK,Returning,Mobile
388,UK,New,Mobile
389,India,New,Desktop
390,India,New,Desktop
391,UK,Returning,Mobile
392,UK,Returning,Mobile
393,Germany,Returning,Desktop
394,Germany,New,Mobile
395,UK,Returning,Mobile
396,Germany,New,Desktop
397,Germany,New,Mobile
398,US,Returning,Mobile
399,Germany,New,Mobile
400,India,New,Desktop
401,Germany,New,Mobile
402,Germany,New,Mobile
403,UK,New,Desktop
404,India,New,Mobile
405,Germany,New,Desktop
406,Germany,Returning,Mobile
407,US,Returning,Desktop
408,Germany,New,Mobile
409,Germany,New,Mobile
410,US,New,Mobile
411,UK,New,Mobile
412,Germany,New,Desktop
413,US,Returning,Desktop
414,India,New,Mobile
415,UK,New,Mobile
416,India,New,Desktop
417,India,New,Desktop
418,US,Returning,Mobile
419,Germany,Returning,Mobile
420,US,New,Mobile
421,US,Returning,Mobile
422,US,New,Mobile
423,US,Returning,Mobile
424,UK,Returning,Mobile
425,Germany,New,Desktop
426,India,New,Mobile
427,India,New,Mobile
428,Germany,New,Mobile
429,India,Returning,Mobile
430,Germany,New,Mobile
431,India,New,Mobile
432,US,Returning,Mobile
433,India,Returning,Mobile
434,Germany,New,Mobile
435,Germany,New,Mobile
436,Germany,New,Desktop
437,Germany,New,Mobile
438,Germany,Returning,Desktop
439,UK,New,Mobile
440,UK,New,Mobile
441,India,New,Mobile
442,Germany,New,Mobile
443,India,Returning,Desktop
444,Germany,Returning,Desktop
445,Germany,New,Desktop
446,UK,New,Mobile
447,UK,New,Mobile
448,US,Returning,Mobile
449,UK,Returning,Mobile
450,US,New,Mobile
451,US,Returning,Mobile
452,US,Returning,Mobile
453,US,New,Mobile
454,US,Returning,Desktop
455,India,New,Desktop
456,UK,New,Desktop
457,US,New,Mobile
458,Germany,New,Mobile
459,UK,New,Mobile
460,UK,Returning,Desktop
461,US,New,Mobile
462,India,Returning,Mobile
463,US,New,Desktop
464,India,New,Mobile
465,Germany,New,Mobile
466,UK,New,Mobile
467,Germany,Returning,Mobile
468,India,New,Mobile
469,India,New,Mobile
470,Germany,New,Mobile
471,India,Returning,Mobile
472,Germany,Returning,Desktop
473,UK,Returning,Mobile
474,Germany,New,Mobile
475,UK,New,Mobile
476,Germany,New,Desktop
477,India,New,Mobile
478,Germany,New,Mobile
479,India,New,Desktop
480,Germany,New,Desktop
481,Germany,New,Mobile
482,US,Returning,Desktop
483,India,New,Mobile
484,US,New,Mobile
485,India,Returning,Mobile
486,US,New,Mobile
487,UK,Returning,Desktop
488,Germany,New,Mobile
489,India,New,Mobile
490,India,Returning,Desktop
491,Germany,Returning,Desktop
492,India,Returning,Mobile
493,India,New,Mobile
494,US,New,Mobile
495,India,New,Desktop
496,UK,New,Mobile
497,UK,Returning,Desktop
498,Germany,New,Mobile
499,India,Returning,Mobile
500,Germany,New,Mobile
501,UK,New,Mobile
502,India,New,Mobile
503,India,Returning,Desktop
504,Germany,Returning,Mobile
505,UK,Returning,Mobile
506,India,Returning,Desktop
507,Germany,Returning,Mobile
508,UK,Returning,Desktop
509,Germany,New,Mobile
510,US,New,Mobile
511,India,New,Mobile
512,US,Returning,Mobile
513,UK,Returning,Desktop
514,US,New,Mobile
515,US,Returning,Mobile
516,UK,Returning,Mobile
517,Germany,New,Mobile
518,US,New,Desktop
519,Germany,Returning,Mobile
520,US,New,Mobile
521,Germany,Returning,Desktop
522,UK,New,Mobile
523,US,Returning,Desktop
524,UK,Returning,Mobile
525,US,Returning,Mobile
526,UK,New,Mobile
527,UK,Returning,Desktop
528,US,Returning,Desktop
529,US,New,Mobile
530,US,Returning,Mobile
531,India,New,Mobile
532,Germany,New,Mobile
533,India,New,Mobile
534,India,New,Desktop
535,UK,New,Mobile
536,US,Returning,Mobile
537,Germany,New,Mobile
538,UK,Returning,Mobile
539,India,New,Mobile
540,US,New,Mobile
541,UK,New,Desktop
542,US,Returning,Mobile
543,UK,New,Mobile
544,US,Returning,Mobile
545,India,Returning,Desktop
546,Germany,Returning,Desktop
547,India,New,Mobile
548,Germany,New,Desktop
549,US,Returning,Mobile
550,UK,New,Mobile
551,India,Returning,Mobile
552,Germany,New,Mobile
553,India,Returning,Mobile
554,Germany,Returning,Desktop
555,India,Returning,Desktop
556,Germany,New,Mobile
557,Germany,Returning,Mobile
558,US,New,Mobile
559,Germany,New,Mobile
560,US,Returning,Mobile
561,Germany,Returning,Mobile
562,UK,Returning,Mobile
563,UK,Returning,Desktop
564,UK,New,Mobile
565,Germany,New,Mobile
566,US,Returning,Desktop
567,US,New,Mobile
568,Germany,New,Mobile
569,UK,New,Mobile
570,UK,New,Mobile
571,US,New,Desktop
572,UK,New,Mobile
573,India,New,Mobile
574,US,New,Desktop
575,UK,Returning,Desktop
576,US,New,Desktop
577,India,New,Mobile
578,US,Returning,Mobile
579,US,New,Desktop
580,US,Returning,Desktop
581,US,Returning,Mobile
582,India,New,Mobile
583,Germany,New,Mobile
584,US,Returning,Desktop
585,US,Returning,Mobile
586,UK,New,Mobile
587,US,Returning,Mobile
588,UK,New,Mobile
589,Germany,Returning,Desktop
590,India,New,Mobile
591,India,Returning,Desktop
592,Germany,Returning,Desktop
593,India,Returning,Mobile
594,Germany,New,Mobile
595,Germany,New,Mobile
596,Germany,New,Desktop
597,India,New,Mobile
598,UK,New,Mobile
599,Germany,Returning,Desktop
600,US,New,Mobile
601,India,New,Desktop
602,Germany,Returning,Mobile
603,Germany,Returning,Mobile
604,US,Returning,Mobile
605,UK,Returning,Desktop
606,UK,New,Mobile
607,UK,New,Desktop
608,Germany,Returning,Desktop
609,Germany,Returning,Mobile
610,Germany,New,Desktop
611,India,Returning,Mobile
612,US,New,Mobile
613,Germany,New,Mobile
614,US,New,Desktop
615,US,New,Mobile
616,UK,New,Mobile
617,India,New,Mobile
618,Germany,Returning,Mobile
619,UK,New,Mobile
620,UK,New,Desktop
621,Germany,Returning,Desktop
622,US,Returning,Mobile
623,UK,Returning,Desktop
624,US,Returning,Mobile
625,India,Returning,Desktop
626,US,New,Mobile
627,India,New,Mobile
628,US,New,Mobile
629,UK,New,Desktop
630,UK,New,Mobile
631,India,Returning,Mobile
632,Germany,New,Mobile
633,India,New,Mobile
634,India,New,Mobile
635,US,Returning,Desktop
636,US,New,Desktop
637,India,Returning,Mobile
638,UK,New,Desktop
639,US,New,Mobile
640,Germany,New,Desktop
641,US,Returning,Desktop
642,US,New,Mobile
643,Germany,Returning,Desktop
644,India,New,Mobile
645,Germany,New,Mobile
646,India,Returning,Desktop
647,India,Returning,Mobile
648,India,Returning,Mobile
649,Germany,Returning,Mobile
650,India,Returning,Desktop
651,UK,Returning,Mobile
652,Germany,Returning,Mobile
653,UK,Returning,Desktop
654,India,Returning,Desktop
655,US,Returning,Mobile
656,India,Returning,Mobile
657,UK,New,Mobile
658,UK,Returning,Mobile
659,Germany,Returning,Mobile
660,US,New,Desktop
661,Germany,Returning,Mobile
662,UK,New,Mobile
663,India,New,Mobile
664,US,Returning,Desktop
665,India,New,Mobile
666,India,Returning,Desktop
667,US,Returning,Mobile
668,Germany,New,Mobile
669,India,New,Mobile
670,UK,New,Mobile
671,India,Returning,Mobile
672,US,Returning,Mobile
673,US,Returning,Mobile
674,US,New,Desktop
675,Germany,Returning,Mobile
676,India,New,Desktop
677,Germany,Returning,Mobile
678,Germany,New,Mobile
679,US,Returning,Mobile
680,US,New,Mobile
681,Germany,Returning,Mobile
682,India,New,Mobile
683,UK,Returning,Mobile
684,Germany,Returning,Mobile
685,India,New,Mobile
686,US,Returning,Desktop
687,US,Returning,Desktop
688,India,New,Desktop
689,UK,New,Desktop
690,US,Returning,Mobile
691,US,New,Mobile
692,US,New,Desktop
693,India,New,Mobile
694,Germany,Returning,Mobile
695,US,New,Mobile
696,Germany,Returning,Mobile
697,UK,Returning,Mobile
698,US,Returning,Desktop
699,US,Returning,Mobile
700,UK,New,Mobile
701,US,Returning,Desktop
702,Germany,New,Mobile
703,India,New,Mobile
704,Germany,New,Mobile
705,India,New,Desktop
706,India,Returning,Desktop
707,Germany,Returning,Mobile
708,Germany,New,Desktop
709,Germany,New,Mobile
710,Germany,Returning,Desktop
711,UK,New,Desktop
712,US,New,Desktop
713,India,New,Mobile
714,Germany,Returning,Desktop
715,Germany,Returning,Desktop
716,Germany,New,Mobile
717,UK,New,Desktop
718,Germany,Returning,Mobile
719,Germany,Returning,Desktop
720,Germany,New,Mobile
721,US,Returning,Desktop
722,UK,New,Mobile
723,Germany,New,Mobile
724,India,Returning,Mobile
725,India,New,Mobile
726,India,Returning,Mobile
727,UK,New,Mobile
728,UK,New,Mobile
729,India,Returning,Mobile
730,Germany,New,Mobile
731,UK,Returning,Desktop
732,India,New,Mobile
733,India,New,Desktop
734,Germany,New,Desktop
735,US,Returning,Mobile
736,UK,New,Mobile
737,Germany,Returning,Desktop
738,India,New,Mobile
739,India,Returning,Mobile
740,Germany,New,Mobile
741,UK,Returning,Desktop
742,US,Returning,Mobile
743,US,Returning,Mobile
744,India,Returning,Desktop
745,UK,Returning,Desktop
746,US,Returning,Mobile
747,UK,New,Mobile
748,UK,New,Desktop
749,India,Returning,Mobile
750,US,Returning,Mobile
751,Germany,Returning,Mobile
752,India,New,Desktop
753,US,New,Mobile
754,US,New,Desktop
755,US,Returning,Desktop
756,US,New,Mobile
757,US,New,Mobile
758,UK,New,Mobile
759,India,New,Mobile
760,UK,New,Mobile
761,Germany,New,Desktop
762,US,Returning,Mobile
763,India,New,Desktop
764,US,New,Mobile
765,India,New,Mobile
766,UK,New,Mobile
767,India,New,Mobile
768,Germany,New,Desktop
769,Germany,Returning,Mobile
770,India,New,Mobile
771,India,Returning,Mobile
772,India,Returning,Mobile
773,India,Returning,Mobile
774,Germany,New,Mobile
775,US,New,Desktop
776,India,New,Mobile
777,India,New,Desktop
778,Germany,Returning,Mobile
779,Germany,New,Mobile
780,UK,New,Mobile
781,India,Returning,Mobile
782,UK,Returning,Mobile
783,Germany,New,Mobile
784,Germany,New,Mobile
785,US,New,Mobile
786,India,New,Mobile
787,UK,New,Desktop
788,Germany,New,Mobile
789,Germany,New,Mobile
790,UK,New,Mobile
791,US,New,Mobile
792,Germany,New,Mobile
793,India,New,Mobile
794,Germany,Returning,Mobile
795,India,Returning,Mobile
796,UK,New,Mobile
797,India,New,Mobile
798,UK,New,Mobile
799,India,Returning,Mobile
800,UK,Returning,Mobile
801,India,New,Desktop
802,US,Returning,Mobile
803,India,New,Mobile
804,India,New,Mobile
805,US,Returning,Desktop
806,Germany,Returning,Mobile
807,Germany,Returning,Mobile
808,India,Returning,Mobile
809,US,New,Mobile
810,India,Returning,Mobile
811,UK,New,Mobile
812,UK,Returning,Desktop
813,India,New,Mobile
814,Germany,Returning,Desktop
815,Germany,New,Desktop
816,India,Returning,Mobile
817,India,New,Mobile
818,UK,Returning,Mobile
819,Germany,New,Mobile
820,India,New,Mobile
821,UK,New,Desktop
822,Germany,New,Desktop
823,US,Returning,Mobile
824,UK,New,Mobile
825,Germany,Returning,Desktop
826,Germany,New,Desktop
827,UK,New,Desktop
828,US,Returning,Mobile
829,UK,Returning,Mobile
830,Germany,New,Mobile
831,India,New,Mobile
832,India,Returning,Mobile
833,UK,New,Mobile
834,Germany,Returning,Mobile
835,India,Returning,Mobile
836,Germany,Returning,Mobile
837,UK,New,Mobile
838,India,Returning,Mobile
839,Germany,New,Mobile
840,India,New,Mobile
841,UK,New,Desktop
842,Germany,New,Mobile
843,India,Returning,Mobile
844,UK,Returning,Mobile
845,India,Returning,Desktop
846,India,New,Mobile
847,US,New,Mobile
848,US,New,Mobile
849,UK,Returning,Mobile
850,US,New,Mobile
851,UK,Returning,Mobile
852,US,New,Desktop
853,India,New,Mobile
854,UK,Returning,Desktop
855,UK,New,Desktop
856,India,Returning,Mobile
857,UK,Returning,Desktop
858,UK,New,Mobile
859,US,New,Mobile
860,UK,New,Mobile
861,Germany,Returning,Mobile
862,India,New,Mobile
863,US,Returning,Mobile
864,US,Returning,Mobile
865,Germany,Returning,Mobile
866,India,New,Mobile
867,India,Returning,Mobile
868,US,Returning,Mobile
869,UK,New,Mobile
870,US,New,Desktop
871,India,Returning,Mobile
872,Germany,New,Desktop
873,US,Returning,Mobile
874,India,New,Mobile
875,US,New,Mobile
876,UK,Returning,Mobile
877,US,New,Mobile
878,US,New,Desktop
879,India,New,Mobile
880,India,New,Desktop
881,India,New,Desktop
882,US,New,Desktop
883,UK,Returning,Desktop
884,Germany,New,Mobile
885,Germany,Returning,Mobile
886,India,New,Mobile
887,India,Returning,Mobile
888,US,New,Mobile
889,Germany,Returning,Desktop
890,India,New,Mobile
891,UK,New,Mobile
892,UK,New,Mobile
893,India,New,Mobile
894,India,New,Mobile
895,Germany,New,Desktop
896,Germany,Returning,Mobile
897,US,New,Mobile
898,Germany,New,Mobile
899,UK,Returning,Mobile
900,UK,Returning,Mobile
901,India,New,Mobile
902,Germany,New,Mobile
903,US,New,Mobile
904,UK,Returning,Mobile
905,UK,Returning,Mobile
906,US,New,Mobile
907,US,Returning,Mobile
908,UK,Returning,Mobile
909,UK,New,Desktop
910,US,Returning,Mobile
911,UK,New,Mobile
912,India,New,Mobile
913,India,New,Mobile
914,US,New,Mobile
915,Germany,New,Mobile
916,US,Returning,Desktop
917,US,New,Mobile
918,Germany,New,Mobile
919,Germany,New,Mobile
920,Germany,Returning,Mobile
921,India,New,Mobile
922,UK,New,Mobile
923,India,New,Desktop
924,UK,New,Mobile
925,India,Returning,Mobile
926,UK,Returning,Desktop
927,India,New,Mobile
928,Germany,Returning,Desktop
929,US,Returning,Mobile
930,India,Returning,Desktop
931,UK,New,Mobile
932,Germany,New,Desktop
933,India,New,Desktop
934,India,Returning,Mobile
935,Germany,New,Desktop
936,India,New,Mobile
937,US,New,Mobile
938,India,Returning,Mobile
939,US,New,Mobile
940,US,Returning,Mobile
941,Germany,Returning,Mobile
942,India,New,Mobile
943,Germany,Returning,Desktop
944,India,New,Desktop
945,India,Returning,Mobile
946,UK,New,Mobile
947,India,Returning,Mobile
948,Germany,Returning,Mobile
949,US,Returning,Mobile
950,India,Returning,Mobile
951,UK,New,Mobile
952,Germany,Returning,Desktop
953,India,Returning,Mobile
954,Germany,New,Mobile
955,UK,New,Mobile
956,UK,Returning,Mobile
957,Germany,Returning,Mobile
958,India,Returning,Mobile
959,US,New,Mobile
960,UK,Returning,Mobile
961,India,New,Desktop
962,India,Returning,Desktop
963,US,New,Mobile
964,UK,Returning,Mobile
965,UK,Returning,Mobile
966,India,New,Mobile
967,India,Returning,Mobile
968,US,New,Mobile
969,US,Returning,Mobile
970,UK,Returning,Mobile
971,Germany,New,Mobile
972,UK,Returning,Desktop
973,India,Returning,Desktop
974,UK,New,Desktop
975,Germany,New,Mobile
976,US,Returning,Desktop
977,Germany,Returning,Mobile
978,Germany,Returning,Desktop
979,Germany,Returning,Mobile
980,US,New,Desktop
981,Germany,Returning,Mobile
982,Germany,New,Desktop
983,Germany,New,Desktop
984,India,New,Mobile
985,Germany,New,Mobile
986,US,New,Desktop
987,Germany,New,Mobile
988,Germany,Returning,Desktop
989,US,New,Mobile
990,Germany,New,Mobile
991,US,New,Mobile
992,Germany,New,Mobile
993,US,New,Desktop
994,Germany,New,Mobile
995,Germany,Returning,Mobile
996,India,Returning,Mobile
997,India,Returning,Mobile
998,Germany,New,Desktop
999,Germany,New,Desktop
1000,UK,Returning,Mobile
